Code départemental de l’établissement;Capacité de l’établissement par formation;Effectif des admis néo bacheliers généraux ayant eu une mention au bac;Sélectivité
15;18;1;formation sélective
15;52;23;formation sélective
15;78;43;formation sélective
16;28;2;formation sélective
16;16;0;formation sélective
16;16;2;formation sélective
16;20;0;formation sélective
16;20;0;formation sélective
16;24;0;formation sélective
16;12;1;formation sélective
16;18;0;formation sélective
16;12;7;formation sélective
16;54;20;formation sélective
17;27;4;formation sélective
17;21;1;formation sélective
17;30;6;formation sélective
17;20;0;formation sélective
17;27;1;formation sélective
17;32;16;formation sélective
17;162;67;formation sélective
17;35;3;formation sélective
17;100;25;formation non sélective
18;48;22;formation sélective
18;26;2;formation sélective
18;24;1;formation sélective
18;22;1;formation sélective
18;46;12;formation sélective
18;104;23;formation sélective
19;35;2;formation sélective
19;35;0;formation sélective
19;19;1;formation sélective
19;54;7;formation sélective
21;24;5;formation sélective
21;24;1;formation sélective
21;24;0;formation sélective
21;24;10;formation sélective
21;24;0;formation sélective
21;24;1;formation sélective
21;35;0;formation sélective
21;30;0;formation sélective
21;35;1;formation sélective
21;66;10;formation sélective
21;35;3;formation sélective
21;32;3;formation sélective
21;30;6;formation sélective
21;30;0;formation sélective
21;104;38;formation sélective
21;52;19;formation sélective
21;78;25;formation sélective
21;84;34;formation sélective
21;47;10;formation non sélective
21;42;12;formation non sélective
21;80;20;formation non sélective
21;240;73;formation non sélective
21;274;123;formation non sélective
21;230;41;formation non sélective
21;160;29;formation non sélective
21;30;7;formation sélective
22;30;0;formation sélective
22;35;0;formation sélective
22;12;0;formation sélective
22;48;33;formation sélective
22;30;0;formation sélective
22;24;0;formation sélective
22;35;3;formation sélective
22;45;2;formation sélective
22;35;7;formation sélective
22;15;0;formation sélective
22;24;0;formation sélective
22;29;18;formation sélective
22;35;1;formation sélective
22;24;1;formation sélective
22;32;2;formation sélective
23;16;0;formation sélective
23;30;0;formation sélective
23;13;2;formation sélective
23;14;0;formation sélective
24;35;1;formation sélective
24;16;0;formation sélective
24;48;27;formation sélective
24;70;2;formation sélective
25;45;44;formation sélective
25;35;0;formation sélective
25;25;3;formation sélective
25;24;4;formation sélective
25;24;0;formation sélective
25;15;1;formation sélective
25;24;2;formation sélective
25;32;0;formation sélective
25;140;56;formation sélective
25;56;29;formation sélective
25;16;0;formation sélective
25;30;6;formation sélective
25;59;13;formation non sélective
25;70;24;formation non sélective
25;40;12;formation non sélective
25;57;3;formation non sélective
25;350;199;formation non sélective
25;100;1;formation non sélective
25;60;20;formation non sélective
25;55;8;formation non sélective
25;18;4;formation sélective
25;72;25;formation sélective
26;18;0;formation sélective
26;30;0;formation sélective
26;26;3;formation sélective
26;16;0;formation sélective
26;27;1;formation sélective
26;24;0;formation sélective
26;45;11;formation non sélective
27;35;0;formation sélective
27;35;1;formation sélective
27;15;0;formation sélective
27;35;2;formation sélective
27;18;0;formation sélective
27;27;0;formation sélective
27;56;5;formation sélective
27;56;13;formation sélective
28;32;1;formation sélective
28;24;1;formation sélective
28;16;0;formation sélective
28;15;0;formation sélective
28;34;4;formation sélective
28;24;1;formation sélective
28;32;1;formation sélective
29;95;79;formation sélective
29;35;1;formation sélective
29;35;0;formation sélective
29;30;0;formation sélective
29;15;0;formation sélective
29;28;2;formation sélective
29;35;0;formation sélective
29;30;0;formation sélective
29;32;2;formation sélective
29;15;0;formation sélective
29;35;1;formation sélective
29;47;11;formation sélective
29;42;23;formation sélective
29;135;77;formation sélective
29;200;73;formation non sélective
29;60;6;formation non sélective
29;40;0;formation non sélective
29;66;11;formation sélective
29;16;0;formation sélective
29;75;10;formation non sélective
29;30;0;formation sélective
29;33;1;formation sélective
29;24;8;formation sélective
30;15;0;formation sélective
30;15;1;formation sélective
30;30;0;formation sélective
30;35;1;formation sélective
30;35;0;formation sélective
30;40;15;formation sélective
30;30;5;formation sélective
30;35;0;formation sélective
30;35;1;formation sélective
30;34;2;formation sélective
30;15;0;formation sélective
30;20;1;formation sélective
30;35;4;formation sélective
30;200;75;formation non sélective
30;300;35;formation non sélective
31;34;34;formation sélective
31;48;47;formation sélective
31;33;2;formation sélective
31;24;2;formation sélective
31;144;139;formation sélective
31;48;47;formation sélective
31;24;9;formation sélective
31;70;17;formation sélective
31;100;41;formation sélective
31;50;7;formation non sélective
31;50;8;formation non sélective
31;150;64;formation sélective
31;24;4;formation sélective
31;48;8;formation sélective
31;35;3;formation sélective
31;35;0;formation sélective
31;24;1;formation sélective
31;35;4;formation sélective
31;35;3;formation sélective
31;90;77;formation sélective
31;70;8;formation non sélective
31;40;15;formation sélective
31;430;76;formation non sélective
31;165;23;formation non sélective
31;446;243;formation non sélective
31;130;15;formation non sélective
31;130;37;formation non sélective
31;700;273;formation non sélective
31;34;3;formation sélective
31;48;6;formation sélective
31;12;6;formation sélective
31;12;7;formation sélective
